estado,nome,data,cidade,distancias,organizador,link_corrida,link_oficial
AC,,,,,,https://www.corridasbr.com.br/ac/mostracorrida.asp?escolha=52071&1%AA%20Ultra%20Maratona%20de%20Epitaciol%E2ndia,https://www.corridasbr.com.br/ac/mostracorrida.asp?escolha=52071&1%AA%20Ultra%20Maratona%20de%20Epitaciol%E2ndia
AC,,12/04/2026,,6km,Instituto Eu Vivo Live,https://www.corridasbr.com.br/ac/mostracorrida.asp?escolha=52834,https://www.corridasbr.com.br/ac/mostracorrida.asp?escolha=52834
AL,,04/01/2026,,5km,Corrida Urbana,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52655&1%AA%20Corrida%20de%20Reis,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52655&1%AA%20Corrida%20de%20Reis
AL,,05/01/2026,,5km,Equipe Vencedores por Cristo,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=50921&1%BA%20Circuito%20da%20Lua,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=50921&1%BA%20Circuito%20da%20Lua
AL,,11/01/2026,,5/3km,Agreste Eventos,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51845&Engenho%20Life%20Run,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51845&Engenho%20Life%20Run
AL,,11/01/2026,,"5/2,5km",,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51824&II%20Corrida%20e%20Caminhada%20Residencial%20GreenPark,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51824&II%20Corrida%20e%20Caminhada%20Residencial%20GreenPark
AL,,11/01/2026,,5/2km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51830&Corrida%20de%20Ver%E3o,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51830&Corrida%20de%20Ver%E3o
AL,,11/01/2026,,8/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52133&Corrida%20Moviment%20Fitlife,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52133&Corrida%20Moviment%20Fitlife
AL,,17/01/2026,,10/5km,Paxá Sports,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52491&Circuito%20American%20Run%20%96%20Etapa%20Fogo,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52491&Circuito%20American%20Run%20%96%20Etapa%20Fogo
AL,,18/01/2026,,10/6km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52612&Corrida%20Impar%E1veis,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52612&Corrida%20Impar%E1veis
AL,,19/01/2026,,,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52608&3%AA%20Trein%E3o%20da%20Liberdade,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52608&3%AA%20Trein%E3o%20da%20Liberdade
AL,,25/01/2026,,15/10/5km,,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51617&15k%20das%20Praias,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=51617&15k%20das%20Praias
AL,,25/01/2026,,"10/5/2,5km",Associação dos Municípios Alagoanos,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52490&1%AA%20Corrida%20Quem%20Corre%20Ama,https://www.corridasbr.com.br/al/mostracorrida.asp?escolha=52490&1%AA%20Corrida%20Quem%20Corre%20Ama
